股份制银行II [['600036.XSHG', '招商银行', 10415.7962], ['601166.XSHG', '兴业银行', 4410.339], ['601998.XSHG', '中信银行', 4112.1775], ['600000.XSHG', '浦发银行', 3843.4937], ['000001.XSHE', '平安银行', 2223.9182]]
房地产开发II [['001979.XSHE', '招商蛇口', 827.6718], ['600048.XSHG', '保利发展', 786.4581], ['600895.XSHG', '张江高科', 736.247], ['000002.XSHE', '万科A', 591.7632], ['600515.XSHG', '海南机场', 560.9827]]
软件开发II [['300033.XSHE', '同花顺', 1911.7056], ['688111.XSHG', '金山办公', 1581.7573], ['002230.XSHE', '科大讯飞', 1285.3872], ['601360.XSHG', '三六零', 849.7463], ['300803.XSHE', '指南针', 845.7841]]
一般零售II [['600415.XSHG', '小商品城', 903.6906], ['601933.XSHG', '永辉超市', 468.2719], ['000564.XSHE', '供销大集', 451.4516], ['600113.XSHG', '浙江东日', 262.6036], ['600655.XSHG', '豫园股份', 203.9648]]
运输设备II [['601766.XSHG', '中国中车', 2017.5301], ['688187.XSHG', '时代电气', 707.4911], ['688009.XSHG', '中国通号', 588.7939], ['600528.XSHG', '中铁工业', 186.8325], ['000927.XSHE', '中国铁物', 160.3344]]
电池II [['300750.XSHE', '宁德时代', 16850.9316], ['300014.XSHE', '亿纬锂能', 1436.1202], ['300450.XSHE', '先导智能', 914.6392], ['002709.XSHE', '天赐材料', 903.8614], ['002074.XSHE', '国轩高科', 744.3309]]
基础建设II [['601390.XSHG', '中国中铁', 1377.4947], ['601800.XSHG', '中国交建', 1349.168], ['601186.XSHG', '中国铁建', 1059.2042], ['601868.XSHG', '中国能建', 1000.5879], ['601669.XSHG', '中国电建', 926.7674]]
玻璃制造II [['600176.XSHG', '中国巨石', 708.9555], ['002080.XSHE', '中材科技', 621.9126], ['603256.XSHG', '宏和科技', 343.9735], ['301526.XSHE', '国际复材', 277.1595], ['601636.XSHG', '旗滨集团', 188.1704]]
白色家电II [['000333.XSHE', '美的集团', 6060.2428], ['600690.XSHG', '海尔智家', 2442.8725], ['000651.XSHE', '格力电器', 2267.449], ['000921.XSHE', '海信家电', 342.4762], ['000016.XSHE', '深康佳A', 122.0828]]
饰品II [['600612.XSHG', '老凤祥', 240.6342], ['600916.XSHG', '中国黄金', 137.76], ['605599.XSHG', '菜百股份', 134.5556], ['002867.XSHE', '周大生', 132.2107], ['301177.XSHE', '迪阿股份', 119.4019]]
农产品加工II [['300999.XSHE', '金龙鱼', 1601.5381], ['600737.XSHG', '中粮糖业', 368.7374], ['605198.XSHG', '安德利', 131.4361], ['000930.XSHE', '中粮科技', 111.0153], ['000019.XSHE', '深粮控股', 80.2165]]
光学光电子II [['000725.XSHE', '京东方A', 1649.9521], ['000100.XSHE', 'TCL科技', 990.1211], ['600703.XSHG', '三安光电', 767.81], ['688538.XSHG', '和辉光电', 379.7595], ['688322.XSHG', '奥比中光', 377.3965]]
电子制造II [['601138.XSHG', '工业富联', 12208.8188], ['002475.XSHE', '立讯精密', 4054.5604], ['300433.XSHE', '蓝思科技', 2044.5063], ['002600.XSHE', '领益智造', 1217.2299], ['002241.XSHE', '歌尔股份', 1060.857]]
综合II [['600673.XSHG', '东阳光', 888.4207], ['000833.XSHE', '粤桂股份', 163.5446], ['600682.XSHG', '南京新百', 119.7168], ['000025.XSHE', '特力A', 78.1509], ['000753.XSHE', '漳州发展', 77.3355]]
电力II [['600900.XSHG', '长江电力', 6677.3766], ['600930.XSHG', '华电新能', 2653.0286], ['003816.XSHE', '中国广核', 1969.4458], ['601985.XSHG', '中国核电', 1859.3474], ['600025.XSHG', '华能水电', 1704.7451]]
医药商业II [['601607.XSHG', '上海医药', 663.0551], ['603939.XSHG', '益丰药房', 269.2723], ['600998.XSHG', '九州通', 266.7467], ['600511.XSHG', '国药股份', 219.7867], ['603233.XSHG', '大参林', 209.3203]]
汽车零部件II [['600660.XSHG', '福耀玻璃', 1657.9701], ['000338.XSHE', '潍柴动力', 1598.0708], ['601689.XSHG', '拓普集团', 1309.4591], ['301656.XSHE', '联合动力', 664.4437], ['000559.XSHE', '万向钱潮', 658.0987]]
专业工程II [['601618.XSHG', '中国中冶', 638.2875], ['601117.XSHG', '中国化学', 494.6571], ['600970.XSHG', '中材国际', 272.1449], ['603929.XSHG', '亚翔集成', 267.7668], ['000032.XSHE', '深桑达A', 247.7337]]
IT服务II [['000938.XSHE', '紫光股份', 741.0467], ['600845.XSHG', '宝信软件', 681.2358], ['301638.XSHE', '南网数字', 658.5056], ['002195.XSHE', '岩山科技', 586.9024], ['688568.XSHG', '中科星图', 532.6048]]
